userid,propertyid,rating_(1-5),area_type,location,bedrooms,total_sqft,bath,balcony,price
350,P2097,5,Plot Area,KR Puram,1,790.0,1,3,8940000
211,P1538,4,Carpet Area,Whitefield,2,1366.0,2,2,7363000
881,P2125,4,Plot Area,Indiranagar,3,1420.0,3,2,11934000
553,P2325,5,Plot Area,Frazer Town,4,3002.0,4,3,20086000
931,P1089,5,Carpet Area,Rajaji Nagar,3,1469.0,3,2,14839000
813,P2140,3,Built-up Area,Marathahalli,2,877.0,2,0,8899000
327,P1062,4,Super built-up Area,BTM Layout,2,1297.0,2,2,9920000
301,P2306,4,Plot Area,KR Puram,1,516.0,1,1,6224000
179,P3262,4,Plot Area,Hebbal,2,872.0,2,1,5168000
678,P1402,4,Super built-up Area,Indiranagar,2,880.0,2,3,7551000
778,P2121,4,Built-up Area,Bellandur,3,1516.0,3,1,10691000
947,P3049,4,Carpet Area,Rajaji Nagar,1,711.0,1,3,7968000
803,P1276,5,Super built-up Area,BTM Layout,2,1290.0,2,1,10267000
638,P1159,5,Carpet Area,Whitefield,2,1380.0,2,1,8154000
915,P2733,5,Built-up Area,Devanahalli,5,2511.0,6,1,19767000
501,P3122,4,Built-up Area,Frazer Town,4,3454.0,4,2,22516000
123,P3017,3,Super built-up Area,Electronic City,4,2426.0,3,1,19666000
452,P2857,3,Super built-up Area,Ramamurthy Nagar,4,2142.0,4,1,21458000
862,P2297,4,Built-up Area,Indiranagar,2,1143.0,2,2,9028000
323,P1513,2,Built-up Area,Banashankari,3,2016.0,3,2,12843000
643,P1833,2,Super built-up Area,Jayanagar,2,1118.0,2,2,10278000
616,P3362,5,Built-up Area,Devanahalli,1,582.0,1,0,5791000
312,P1560,2,Plot Area,Sarjapur Road,3,1453.0,3,1,9109000
613,P1149,4,Built-up Area,Ramamurthy Nagar,3,1991.0,3,1,20422000
553,P1402,4,Super built-up Area,Indiranagar,2,880.0,2,3,7551000
527,P1524,5,Built-up Area,Ramamurthy Nagar,2,964.0,2,1,9796000
568,P2039,3,Carpet Area,Marathahalli,3,1564.0,3,1,15030000
301,P1996,4,Plot Area,Koramangala,3,1634.0,3,0,8760000
